Time/Date,Value
01/10/2023 00:00,0.7
01/10/2023 00:15,0.7
01/10/2023 00:30,0.7
01/10/2023 00:45,0.7
01/10/2023 01:00,0.7
01/10/2023 01:15,0.69
01/10/2023 01:30,0.69
01/10/2023 01:45,0.69
01/10/2023 02:00,0.69
01/10/2023 02:15,0.69
01/10/2023 02:30,0.69
01/10/2023 02:45,0.69
01/10/2023 03:00,0.69
01/10/2023 03:15,0.68
01/10/2023 03:30,0.68
01/10/2023 03:45,0.68
01/10/2023 04:00,0.68
01/10/2023 04:15,0.68
01/10/2023 04:30,0.68
01/10/2023 04:45,0.68
01/10/2023 05:00,0.68
01/10/2023 05:15,0.68
01/10/2023 05:30,0.67
01/10/2023 05:45,0.67
01/10/2023 06:00,0.67
01/10/2023 06:15,0.67
01/10/2023 06:30,0.67
01/10/2023 06:45,0.67
01/10/2023 07:00,0.67
01/10/2023 07:15,0.67
01/10/2023 07:30,0.67
01/10/2023 07:45,0.67
01/10/2023 08:00,0.66
01/10/2023 08:15,0.67
01/10/2023 08:30,0.66
01/10/2023 08:45,0.66
01/10/2023 09:00,0.66
01/10/2023 09:15,0.66
01/10/2023 09:30,0.66
01/10/2023 09:45,0.66
01/10/2023 10:00,0.66
01/10/2023 10:15,0.66
01/10/2023 10:30,0.65
01/10/2023 10:45,0.65
01/10/2023 11:00,0.65
01/10/2023 11:15,0.65
01/10/2023 11:30,0.65
01/10/2023 11:45,0.65
01/10/2023 12:00,0.65
01/10/2023 12:15,0.65
01/10/2023 12:30,0.65
01/10/2023 12:45,0.65
01/10/2023 13:00,0.65
01/10/2023 13:15,0.65
01/10/2023 13:30,0.65
01/10/2023 13:45,0.65
01/10/2023 14:00,0.65
01/10/2023 14:15,0.65
01/10/2023 14:30,0.65
01/10/2023 14:45,0.65
01/10/2023 15:00,0.65
01/10/2023 15:15,0.65
01/10/2023 15:30,0.65
01/10/2023 15:45,0.65
01/10/2023 16:00,0.65
01/10/2023 16:15,0.65
01/10/2023 16:30,0.65
01/10/2023 16:45,0.65
01/10/2023 17:00,0.65
01/10/2023 17:15,0.65
01/10/2023 17:30,0.65
01/10/2023 17:45,0.65
01/10/2023 18:00,0.65
01/10/2023 18:15,0.65
01/10/2023 18:30,0.65
01/10/2023 18:45,0.65
01/10/2023 19:00,0.65
01/10/2023 19:15,0.65
01/10/2023 19:30,0.65
01/10/2023 19:45,0.65
01/10/2023 20:00,0.65
01/10/2023 20:15,0.65
01/10/2023 20:30,0.65
01/10/2023 20:45,0.66
01/10/2023 21:00,0.66
01/10/2023 21:15,0.66
01/10/2023 21:30,0.66
01/10/2023 21:45,0.67
01/10/2023 22:00,0.67
01/10/2023 22:15,0.68
01/10/2023 22:30,0.68
01/10/2023 22:45,0.69
01/10/2023 23:00,0.7
01/10/2023 23:15,0.71
01/10/2023 23:30,0.72
01/10/2023 23:45,0.74
02/10/2023 00:00,0.75
02/10/2023 00:15,0.76
02/10/2023 00:30,0.78
02/10/2023 00:45,0.8
02/10/2023 01:00,0.82
02/10/2023 01:15,0.84
02/10/2023 01:30,0.86
02/10/2023 01:45,0.87
02/10/2023 02:00,0.89
02/10/2023 02:15,0.91
02/10/2023 02:30,0.93
02/10/2023 02:45,0.95
02/10/2023 03:00,0.97
02/10/2023 03:15,0.98
02/10/2023 03:30,1
02/10/2023 03:45,1.01
02/10/2023 04:00,1.02
02/10/2023 04:15,1.04
02/10/2023 04:30,1.05
02/10/2023 04:45,1.06
02/10/2023 05:00,1.07
02/10/2023 05:15,1.08
02/10/2023 05:30,1.09
02/10/2023 05:45,1.09
02/10/2023 06:00,1.1
02/10/2023 06:15,1.11
02/10/2023 06:30,1.12
02/10/2023 06:45,1.12
02/10/2023 07:00,1.12
02/10/2023 07:15,1.13
02/10/2023 07:30,1.13
02/10/2023 07:45,1.14
02/10/2023 08:00,1.15
02/10/2023 08:15,1.15
02/10/2023 08:30,1.17
02/10/2023 08:45,1.17
02/10/2023 09:00,1.18
02/10/2023 09:15,1.19
02/10/2023 09:30,1.2
02/10/2023 09:45,1.22
02/10/2023 10:00,1.24
02/10/2023 10:15,1.26
02/10/2023 10:30,1.28
02/10/2023 10:45,1.3
02/10/2023 11:00,1.33
02/10/2023 11:15,1.36
02/10/2023 11:30,1.39
02/10/2023 11:45,1.42
02/10/2023 12:00,1.45
02/10/2023 12:15,1.49
02/10/2023 12:30,1.51
02/10/2023 12:45,1.55
02/10/2023 13:00,1.58
02/10/2023 13:15,1.61
02/10/2023 13:30,1.64
02/10/2023 13:45,1.67
02/10/2023 14:00,1.7
02/10/2023 14:15,1.73
02/10/2023 14:30,1.75
02/10/2023 14:45,1.78
02/10/2023 15:00,1.8
02/10/2023 15:15,1.83
02/10/2023 15:30,1.85
02/10/2023 15:45,1.87
02/10/2023 16:00,1.89
02/10/2023 16:15,1.9
02/10/2023 16:30,1.91
02/10/2023 16:45,1.93
02/10/2023 17:00,1.95
02/10/2023 17:15,1.95
02/10/2023 17:30,1.96
02/10/2023 17:45,1.96
02/10/2023 18:00,1.97
02/10/2023 18:15,1.98
02/10/2023 18:30,1.98
02/10/2023 18:45,1.99
02/10/2023 19:00,1.99
02/10/2023 19:15,1.99
02/10/2023 19:30,1.99
02/10/2023 19:45,1.98
02/10/2023 20:00,1.98
02/10/2023 20:15,1.97
02/10/2023 20:30,1.97
02/10/2023 20:45,1.96
