Gauge,Level,Date
Abbeymead Avenue,0.71,20/10/2023
Abbeymead Avenue,0.25,04/11/2023
Abbeymead Avenue,0.53,09/02/2024
Abbeymead Avenue,0.23,09/12/2023
Abbeymead Avenue,0.3,01/01/2024
Abbeymead Avenue,0.38,02/01/2024
Abbeymead Avenue,0.25,22/01/2024
Abbeymead Avenue,0.28,22/02/2024
Adderley,1.04,20/10/2023
Adderley,1.05,02/11/2023
Adderley,0.87,09/12/2023
Adderley,0.98,01/01/2024
Adderley,1.09,02/01/2024
Adderley,0.46,21/01/2024
Agnes Meadow,2.03,20/10/2023
Agnes Meadow,0.7,02/11/2023
Agnes Meadow,0.98,09/02/2024
Agnes Meadow,1.21,09/12/2023
Agnes Meadow,1.4,01/01/2024
Agnes Meadow,1.21,02/01/2024
Agnes Meadow,0.37,22/01/2024
Agnes Meadow,0.87,22/02/2024
Anslow,1.52,20/10/2023
Anslow,0.8,02/11/2023
Anslow,1.12,09/02/2024
Anslow,0.99,09/12/2023
Anslow,1.25,02/01/2024
Anslow,1.54,02/01/2024
Anslow,0.35,22/01/2024
Anslow,1.45,22/02/2024
Arle,1.8,20/10/2023
Arle,0.98,04/11/2023
Arle,1.19,09/02/2024
Arle,0.82,12/12/2023
Arle,1.14,30/12/2023
Arle,1.07,02/01/2024
Arle,0.76,22/01/2024
Arle,1.09,22/02/2024
Armscroft Place,1.13,20/10/2023
Armscroft Place,0.57,04/11/2023
Armscroft Place,0.79,09/02/2024
Armscroft Place,1.02,12/12/2023
Armscroft Place,0.59,30/12/2023
Armscroft Place,0.62,02/01/2024
Armscroft Place,0.59,22/01/2024
Armscroft Place,0.56,22/02/2024
Ashbourne,1.93,20/10/2023
Ashbourne,0.68,02/11/2023
Ashbourne,1.06,09/02/2024
Ashbourne,1.24,09/12/2023
Ashbourne,1.49,02/01/2024
Ashbourne,1.52,02/01/2024
Ashbourne,0.42,22/01/2024
Ashbourne,0.87,22/02/2024
Ashleworth,4.7,25/10/2023
Ashleworth,3.92,06/11/2023
Ashleworth,4.84,12/02/2024
Ashleworth,4.2,14/12/2023
Ashleworth,4.57,01/01/2024
Ashleworth,5.49,05/01/2024
Ashleworth,3.06,26/01/2024
Ashleworth,4.85,25/02/2024
Aston Bridge,3.65,21/10/2023
Aston Bridge,3.44,03/11/2023
Aston Bridge,3.19,09/02/2024
Aston Bridge,3.35,10/12/2023
Aston Bridge,3.17,28/12/2023
Aston Bridge,3.54,03/01/2024
Aston Bridge,1.74,22/01/2024
Aston Bridge,3.24,23/02/2024
Astonfields,1.4,20/10/2023
Astonfields,0.56,05/11/2023
Astonfields,0.77,09/02/2024
Astonfields,0.59,09/12/2023
Astonfields,0.68,28/12/2023
Astonfields,1.23,02/01/2024
Astonfields,0.34,21/01/2024
Astonfields,0.88,22/02/2024
Basford Bridge,2.32,20/10/2023
Basford Bridge,2.39,03/11/2023
Basford Bridge,1.71,09/02/2024
Basford Bridge,2.03,10/12/2023
Basford Bridge,1.9,02/01/2024
Basford Bridge,2.27,02/01/2024
Basford Bridge,1.23,22/01/2024
Basford Bridge,2.01,22/02/2024
Belmont,4.27,21/10/2023
Belmont,3.93,05/11/2023
Belmont,4.87,09/02/2024
Belmont,4.1,13/12/2023
Belmont,5.16,28/12/2023
Belmont,5.86,03/01/2024
Belmont,3.97,22/01/2024
Belmont,4.63,23/02/2024
Bescot,3.24,20/10/2023
Bescot,1.98,04/11/2023
Bescot,2.57,09/02/2024
Bescot,1.97,09/12/2023
Bescot,2.12,01/01/2024
Bescot,2.91,02/01/2024
Bescot,1.5,22/01/2024
Bescot,2.75,22/02/2024
Besford Bridge,3.22,21/10/2023
Besford Bridge,1.66,03/11/2023
Besford Bridge,2.99,09/02/2024
Besford Bridge,2.39,10/12/2023
Besford Bridge,2.51,29/12/2023
Besford Bridge,2.91,03/01/2024
Besford Bridge,1.61,23/01/2024
Besford Bridge,2.74,23/02/2024
Bewdley,4.55,24/10/2023
Bewdley,2.84,05/11/2023
Bewdley,3.72,09/02/2024
Bewdley,3.42,12/12/2023
Bewdley,4.18,02/01/2024
Bewdley,5.17,05/01/2024
Bewdley,2.87,26/01/2024
Bewdley,3.55,24/02/2024
Bidford On Avon,3.43,21/10/2023
Bidford On Avon,2.52,05/11/2023
Bidford On Avon,3.69,10/02/2024
Bidford On Avon,2.88,10/12/2023
Bidford On Avon,3.39,01/01/2024
Bidford On Avon,3.79,03/01/2024
Bidford On Avon,1.84,22/01/2024
Bidford On Avon,3.43,23/02/2024
Birmingham Perry Beeches,1.22,20/10/2023
Birmingham Perry Beeches,0.48,02/11/2023
Birmingham Perry Beeches,0.39,12/12/2023
Birmingham Perry Beeches,0.73,30/12/2023
Birmingham Perry Beeches,0.87,02/01/2024
Birmingham Perry Beeches,0.4,21/01/2024
Bishops Frome,1.62,20/10/2023
Bishops Frome,0.73,04/11/2023
Bishops Frome,1.6,09/02/2024
Bishops Frome,1.04,10/12/2023
Bishops Frome,1.16,28/12/2023
Bishops Frome,1.58,02/01/2024
Bishops Frome,1.05,22/01/2024
Bishops Frome,1.51,22/02/2024
Blythe Bridge,1.42,20/10/2023
Blythe Bridge,1.17,03/11/2023
Blythe Bridge,0.74,09/02/2024
Blythe Bridge,0.88,09/12/2023
Blythe Bridge,0.84,02/01/2024
Blythe Bridge,1.42,02/01/2024
Blythe Bridge,0.6,22/01/2024
Blythe Bridge,0.95,22/02/2024
Bodiam Avenue,1.18,20/10/2023
Bodiam Avenue,0.36,04/11/2023
Bodiam Avenue,0.72,09/02/2024
Bodiam Avenue,0.36,09/12/2023
Bodiam Avenue,0.51,01/01/2024
Bodiam Avenue,0.65,02/01/2024
Bodiam Avenue,0.47,22/01/2024
Bodiam Avenue,0.45,22/02/2024
Bondend Road,0.98,20/10/2023
Bondend Road,0.52,04/11/2023
Bondend Road,0.68,09/02/2024
Bondend Road,0.52,09/12/2023
Bondend Road,0.49,27/12/2023
Bondend Road,0.6,02/01/2024
Bondend Road,0.45,22/01/2024
Bondend Road,0.53,22/02/2024
Bosbury,1.4,20/10/2023
Bosbury,0.38,04/11/2023
Bosbury,1.31,09/02/2024
Bosbury,0.74,09/12/2023
Bosbury,0.8,28/12/2023
Bosbury,1.02,02/01/2024
Bosbury,0.33,22/01/2024
Bosbury,1.46,22/02/2024
Bournville Woodbrooke Road,1.49,20/10/2023
Bournville Woodbrooke Road,0.53,04/11/2023
Bournville Woodbrooke Road,1.02,10/12/2023
Bournville Woodbrooke Road,1,01/01/2024
Bournville Woodbrooke Road,1.11,02/01/2024
Bournville Woodbrooke Road,0.9,21/01/2024
Bransford,5.59,21/10/2023
Bransford,4.26,05/11/2023
Bransford,5.16,09/02/2024
Bransford,4.49,13/12/2023
Bransford,4.86,28/12/2023
Bransford,5.34,03/01/2024
Bransford,2.28,22/01/2024
Bransford,5.04,23/02/2024
Bredon,3.18,22/10/2023
Bredon,2.19,05/11/2023
Bredon,3.31,10/02/2024
Bredon,2.79,11/12/2023
Bredon,3,01/01/2024
Bredon,3.65,04/01/2024
Bredon,1.09,22/01/2024
Bredon,3.08,24/02/2024
Bredwardine,4.18,21/10/2023
Bredwardine,3.83,05/11/2023
Bredwardine,4.78,09/02/2024
Bredwardine,4.03,13/12/2023
