Gauge,Storm,Date,Level
Bidford On Avon,Early September,2024-09-24,3.19
Bidford On Avon,Late September,2024-09-28,3.57
Bidford On Avon,Early October,2024-09-30,2.77
Bidford On Avon,October 9th,2024-10-05,2.34
Rugby,Early September,2024-09-24,2.15
Rugby,Late September,2024-09-27,2.56
Rugby,Early October,2024-10-02,2.53
Rugby,October 9th,2024-10-08,1.08
Stareton,Early September,2024-09-25,0.68
Stareton,Late September,2024-09-28,1.61
Stareton,Early October,2024-10-03,1.53
Stareton,October 9th,2024-10-05,0.84
Stratford,Early September,2024-09-24,1.01
Stratford,Late September,2024-09-28,1.49
Stratford,Early October,2024-09-30,1.16
Stratford,October 9th,2024-10-05,0.91
Warwick,Early September,2024-09-25,1.78
Warwick,Late September,2024-09-28,2.6
Warwick,Early October,2024-10-03,2.23
Warwick,October 9th,2024-10-05,1.66
Old Budbrooke Road,Early September,2024-09-23,0.6
Old Budbrooke Road,Late September,2024-09-26,0.86
Old Budbrooke Road,Early October,2024-10-01,0.49
Old Budbrooke Road,October 9th,2024-10-08,1.18
Rothwell Road,Early September,2024-09-23,0.11
Rothwell Road,Late September,2024-09-26,0.22
Rothwell Road,Early October,2024-10-01,0.13
Rothwell Road,October 9th,2024-10-08,0.44
Wedgnock Lane,Early September,2024-09-23,0.57
Wedgnock Lane,Late September,2024-09-26,0.93
Wedgnock Lane,Early October,2024-09-30,0.55
Wedgnock Lane,October 9th,2024-10-08,1.2
Broom,Early September,2024-09-23,0.43
Broom,Late September,2024-09-27,1.49
Broom,Early October,2024-09-30,1.25
Broom,October 9th,2024-10-09,0.93
Henley River,Early September,2024-09-23,0.44
Henley River,Late September,2024-09-27,0.73
Henley River,Early October,2024-09-30,0.76
Henley River,October 9th,2024-10-08,0.88
Little Alne,Early September,2024-09-23,1.1
Little Alne,Late September,2024-09-27,2.6
Little Alne,Early October,2024-09-30,2.23
Little Alne,October 9th,2024-10-09,2.72
Studley,Early September,2024-09-22,0.95
Studley,Late September,2024-09-26,1.48
Studley,Early October,2024-09-30,1.26
Studley,October 9th,2024-10-08,0.96
Walton,Early September,2024-09-24,2.63
Walton,Late September,2024-09-27,2.61
Walton,Early October,2024-10-02,1.93
